book_id,title,subtitle,authors,publisher,published_date,print_type,page_count,language,categories,isbn_10,isbn_13,is_ebook,list_price_amount,retail_price_amount,currency,text_to_speech_permission,epub_available,pdf_available
UlpVDwAAQBAJ,Data Science,N/A,"John D. Kelleher, Brendan Tierney",MIT Press,2018-04-13,BOOK,280,en,"Computers / General, Computers / Data Science / General, Technology & Engineering / General",262347032,9780262347037,,548751,384126,VND,ALLOWED,TRUE,TRUE
s2RXEAAAQBAJ,Computational Thinking: A Perspective on Computer Science,N/A,"Zhiwei Xu, Jialin Zhang",Springer Nature,2022-01-01,BOOK,319,en,"Computers / Computer Science, Computers / Programming / General, Computers / Networking / General, Computers / General, Computers / Information Technology",9811638489,9789811638480,,1708498,1195949,VND,ALLOWED,TRUE,TRUE
qfsOEAAAQBAJ,"Machine Learning and Big Data Analytics Paradigms: Analysis, Applications and Challenges",N/A,"Aboul Ella Hassanien, Ashraf Darwish",Springer Nature,2020-12-14,BOOK,648,en,"Computers / Data Science / General, Technology & Engineering / Engineering (General), Computers / Artificial Intelligence / General, Computers / Database Administration & Management, Mathematics / Probability & Statistics / General, Technology & Engineering / General",303059338X,9783030593384,,6834923,4784446,VND,ALLOWED,TRUE,TRUE
uG75EAAAQBAJ,Data Analytics for Intelligent Transportation Systems,N/A,"Mashrur Chowdhury, Kakan Dey, Amy Apon",Elsevier,2024-11-02,BOOK,400,en,"Computers / Artificial Intelligence / General, Computers / Artificial Intelligence / Expert Systems",443138796,9780443138799,,3779132,2645392,VND,ALLOWED,TRUE,TRUE
OCROEQAAQBAJ,Marketing Analytics Using Excel,A Beginner′s Guide,"Rahul Pratap Singh Kaurav, Asha Thomas",SAGE Publications,2025-03-15,BOOK,448,en,"Business & Economics / Marketing / General, Business & Economics / Sales & Selling / General",1036205037,9781036205034,,1512555,1058788,VND,ALLOWED,TRUE,TRUE
Eb9IEAAAQBAJ,Data Science Fundamentals and Practical Approaches,N/A,"Nandi Dr. Rupam Dr. Gypsy, Kumar Sharma",BPB Publications,2020-09-03,BOOK,634,en,"Language Arts & Disciplines / Library & Information Science / General, Computers / Artificial Intelligence / General",938984567X,9789389845679,,289381,196779,VND,ALLOWED,TRUE,TRUE
JJeNEQAAQBAJ,Transforming the Healthcare Revenue Cycle with Artificial Intelligence,A Guide to Building Impactful AI Using Electronic Claims and Electronic Health Record Data,Korin Reid,CRC Press,2025-08-08,BOOK,198,en,"Business & Economics / Industries / Healthcare, Business & Economics / Corporate Finance / General, Business & Economics / General, Business & Economics / Leadership, Computers / Artificial Intelligence / General, Medical / Epidemiology, Business & Economics / Accounting / Managerial, Business & Economics / Strategic Planning, Business & Economics / Government & Business, Medical / Health Care Delivery",1040382460,9781040382462,,1743951,1323027,VND,ALLOWED,TRUE,TRUE
uuRfDwAAQBAJ,Applying Business Intelligence Initiatives in Healthcare and Organizational Settings,N/A,"Miah, Shah J., Yeoh, William",IGI Global,2018-07-13,BOOK,384,en,"Business & Economics / General, Business & Economics / Organizational Development, Medical / General",1522557199,9781522557197,,5929635,4150744,VND,ALLOWED,FALSE,TRUE
d5EAEAAAQBAJ,The Data Science Framework,A View from the EDISON Project,"Juan J. Cuadrado-Gallego, Yuri Demchenko",Springer Nature,2020-10-01,BOOK,194,en,"Computers / Database Administration & Management, Computers / Information Theory, Computers / General, Business & Economics / Careers / General, Computers / Data Science / General, Technology & Engineering / Engineering (General), Mathematics / Probability & Statistics / General, Computers / Programming / Algorithms, Computers / Information Technology, Language Arts & Disciplines / Library & Information Science / General",3030510239,9783030510237,,5126115,3588280,VND,ALLOWED,TRUE,TRUE
9S_KDwAAQBAJ,Advances in Data Science and Management,Proceedings of ICDSM 2019,"Samarjeet Borah, Valentina Emilia Balas, Zdzislaw Polkowski",Springer Nature,2020-01-13,BOOK,563,en,"Computers / Artificial Intelligence / General, Technology & Engineering / Engineering (General), Computers / Database Administration & Management, Mathematics / Probability & Statistics / General, Computers / Data Science / Data Analytics, Technology & Engineering / General, Computers / Artificial Intelligence / Expert Systems",9811509786,9789811509780,,6834923,4784446,VND,ALLOWED,TRUE,TRUE
4ZctAAAAQBAJ,Data Science for Business,What You Need to Know about Data Mining and Data-Analytic Thinking,"Foster Provost, Tom Fawcett","O'Reilly Media, Inc.",2013-07-27,BOOK,414,en,"Computers / Data Science / Data Modeling & Design, Business & Economics / General, Business & Economics / Business Mathematics, Business & Economics / Statistics, Computers / General, Computers / Data Science / Data Analytics",144937428X,9781449374280,,346486,235610,VND,ALLOWED,TRUE,TRUE
F-Q_EAAAQBAJ,Smart Log Data Analytics,Techniques for Advanced Security Analysis,"Florian Skopik, Markus Wurzenberger, Max Landauer",Springer Nature,2021-08-28,BOOK,208,en,"Computers / Security / General, Mathematics / Probability & Statistics / General, Computers / Artificial Intelligence / General, Computers / Data Science / Data Analytics, Computers / Artificial Intelligence / Computer Vision & Pattern Recognition, Computers / Information Technology, Computers / Security / Network Security, Computers / Artificial Intelligence / Expert Systems, Computers / Optical Data Processing",3030744507,9783030744502,,4784353,3349047,VND,ALLOWED,TRUE,TRUE
IwMREAAAQBAJ,Python Programming for Beginners – 5 in 1 Crash Course,"Unlock the Huge Possibilities of Python With Practical Applications to Data Analysis, Algorithms and Data Science Projects",Martin Evans,Martin Evans,2020-12-27,BOOK,280,en,"Computers / Programming Languages / Python, Computers / Programming / Object Oriented, Computers / Natural Language Processing, Computers / Computer Science, Computers / Intelligence (AI) & Semantics",,,,290438,197498,VND,ALLOWED,FALSE,TRUE
5Jaa1BVverIC,Concise Encyclopedia of Computer Science,N/A,Edwin D. Reilly,John Wiley & Sons,2004-09-03,BOOK,928,en,"Computers / Computer Science, Technology & Engineering / Electronics / General, Technology & Engineering / Electrical",470090952,9780470090954,,2448303,2291053,VND,ALLOWED,FALSE,TRUE
Syy9BgAAQBAJ,Data Science For Dummies,N/A,Lillian Pierson,John Wiley & Sons,2015-03-09,BOOK,408,en,"Business & Economics / Knowledge Capital, Computers / Database Administration & Management, Computers / Data Science / Data Analytics, Computers / Information Technology, Mathematics / General",1118841557,9781118841556,,974317,673250,VND,ALLOWED,FALSE,TRUE
lvUE0AEACAAJ,Data Analytics,A Theoretical and Practical View from the EDISON Project,"Juan J. Cuadrado-Gallego, Yuri Demchenko",Springer International Publishing,2023-11-11,BOOK,477,en,"Computers / Database Administration & Management, Computers / Artificial Intelligence / General, Mathematics / Probability & Statistics / General, Computers / Information Technology",3031391284,9783031391286,,5267737,1720002,VND,ALLOWED,FALSE,FALSE
tczsEAAAQBAJ,Learn C Programming from Scratch,A step-by-step methodology with problem solving approach (English Edition),Mohammad Saleem Mir,BPB Publications,2024-01-09,BOOK,456,en,"Computers / Languages / C, Computers / Computer Science, Computers / Programming / General, Computers / Programming / Algorithms",9355516061,9789355516060,,580084,406059,VND,ALLOWED,TRUE,TRUE
8PMiEQAAQBAJ,Full Stack Web Development,Mastering Web Development from Client to Server-Side Technologies,"Rheinwerk Publishing, Inc, Philip Ackermann",Packt Publishing Ltd,2024-09-18,BOOK,743,en,"Computers / Internet / Web Design, Computers / Languages / HTML, Computers / Programming / Parallel",1836644922,9781836644927,,1234580,864206,VND,ALLOWED,TRUE,TRUE
